Load_kW
" 18,983 "
" 18,559 "
" 18,746 "
" 19,324 "
" 19,723 "
" 18,304 "
" 17,638 "
" 18,586 "
" 18,782 "
" 18,669 "
" 17,689 "
" 17,193 "
" 17,108 "
" 17,368 "
" 18,829 "
" 18,244 "
" 18,925 "
" 19,090 "
" 19,559 "
" 19,730 "
" 19,730 "
" 19,904 "
" 19,750 "
" 19,631 "
" 19,298 "
" 17,717 "
" 18,657 "
" 19,364 "
" 18,697 "
" 18,147 "
" 18,773 "
" 18,598 "
" 18,544 "
" 19,026 "
" 18,388 "
" 17,610 "
" 17,923 "
" 17,266 "
" 17,789 "
" 18,614 "
" 19,151 "
" 19,189 "
" 19,343 "
" 19,504 "
" 19,344 "
" 19,279 "
" 19,304 "
" 19,588 "
" 18,852 "
" 19,103 "
" 19,924 "
" 19,833 "
" 19,088 "
" 17,511 "
" 16,570 "
" 17,150 "
" 17,151 "
" 16,552 "
" 15,864 "
" 17,277 "
" 17,315 "
" 16,395 "
" 17,794 "
" 18,313 "
" 18,265 "
" 17,957 "
" 18,038 "
" 17,894 "
" 18,526 "
" 19,338 "
" 18,714 "
" 17,734 "
" 17,899 "
" 18,124 "
" 18,718 "
" 18,747 "
" 19,038 "
" 18,505 "
" 18,050 "
" 18,378 "
" 18,499 "
" 18,176 "
" 18,816 "
" 18,581 "
" 17,602 "
" 18,110 "
" 19,399 "
" 18,927 "
" 19,512 "
" 19,258 "
" 18,654 "
" 19,450 "
" 19,969 "
" 19,433 "
" 19,549 "
" 19,007 "
" 18,261 "
" 17,187 "
" 17,879 "
" 18,960 "
" 18,053 "
" 17,794 "
" 17,882 "
" 17,325 "
" 16,609 "
" 14,416 "
" 12,058 "
" 11,764 "
" 12,950 "
" 13,402 "
" 13,372 "
" 14,435 "
" 16,161 "
" 17,776 "
" 19,830 "
" 21,660 "
" 20,469 "
" 20,875 "
" 21,385 "
" 20,920 "
" 19,705 "
